Date,Close,,Date,Volume
2025/5/27 下午 4:00:00,153.02,,2025/5/27 下午 4:00:00,7967780
2025/5/28 下午 4:00:00,150.18,,2025/5/28 下午 4:00:00,9107917
2025/5/29 下午 4:00:00,152.22,,2025/5/29 下午 4:00:00,9226008
2025/5/30 下午 4:00:00,151.44,,2025/5/30 下午 4:00:00,4948641
2025/6/2 下午 4:00:00,153.96,,2025/6/2 下午 4:00:00,3406717
2025/6/3 下午 4:00:00,156.61,,2025/6/3 下午 4:00:00,3018267
2025/6/4 下午 4:00:00,156.3,,2025/6/4 下午 4:00:00,7565531
2025/6/5 下午 4:00:00,154.05,,2025/6/5 下午 4:00:00,3810890
2025/6/6 下午 4:00:00,158.57,,2025/6/6 下午 4:00:00,2813195
2025/6/9 下午 4:00:00,158.99,,2025/6/9 下午 4:00:00,2091921
2025/6/10 下午 4:00:00,161.67,,2025/6/10 下午 4:00:00,2635051
2025/6/11 下午 4:00:00,160.33,,2025/6/11 下午 4:00:00,3205597
2025/6/12 下午 4:00:00,162.03,,2025/6/12 下午 4:00:00,2346183
2025/6/13 下午 4:00:00,156.56,,2025/6/13 下午 4:00:00,4041612
2025/6/16 下午 4:00:00,161.03,,2025/6/16 下午 4:00:00,2247526
2025/6/17 下午 4:00:00,156.83,,2025/6/17 下午 4:00:00,2824594
2025/6/18 下午 4:00:00,156.63,,2025/6/18 下午 4:00:00,2670027
2025/6/20 下午 4:00:00,155.07,,2025/6/20 下午 4:00:00,3006894
2025/6/23 下午 4:00:00,159.97,,2025/6/23 下午 4:00:00,8424457
2025/6/24 下午 4:00:00,164.47,,2025/6/24 下午 4:00:00,7873624
2025/6/25 下午 4:00:00,164.75,,2025/6/25 下午 4:00:00,5010751
2025/6/26 下午 4:00:00,168.68,,2025/6/26 下午 4:00:00,2286543
2025/6/27 下午 4:00:00,170.93,,2025/6/27 下午 4:00:00,3089315
2025/6/30 下午 4:00:00,173.53,,2025/6/30 下午 4:00:00,2878061
2025/7/1 下午 4:00:00,173.23,,2025/7/1 下午 4:00:00,2748404
2025/7/2 下午 4:00:00,175.43,,2025/7/2 下午 4:00:00,2044965
2025/7/3 下午 1:15:00,179.41,,2025/7/3 下午 1:15:00,4986039
2025/7/7 下午 4:00:00,175.41,,2025/7/7 下午 4:00:00,7478358
2025/7/8 下午 4:00:00,175.07,,2025/7/8 下午 4:00:00,2787543
2025/7/9 下午 4:00:00,178.12,,2025/7/9 下午 4:00:00,2502023
2025/7/10 下午 4:00:00,179.64,,2025/7/10 下午 4:00:00,2247652
2025/7/11 下午 4:00:00,177.54,,2025/7/11 下午 4:00:00,2303425
2025/7/14 下午 4:00:00,178.49,,2025/7/14 下午 4:00:00,2292399
2025/7/15 下午 4:00:00,176.18,,2025/7/15 下午 4:00:00,2427809
2025/7/16 下午 4:00:00,177.86,,2025/7/16 下午 4:00:00,2619509
2025/7/17 下午 4:00:00,181.04,,2025/7/17 下午 4:00:00,2267964
2025/7/18 下午 4:00:00,180.6,,2025/7/18 下午 4:00:00,1946603
2025/7/21 下午 4:00:00,181.55,,2025/7/21 下午 4:00:00,2388254
2025/7/22 下午 4:00:00,181.54,,2025/7/22 下午 4:00:00,1938576
2025/7/23 下午 4:00:00,186.14,,2025/7/23 下午 4:00:00,2404765
