Date,Close,,Date,Volume
2025/5/27 下午 4:00:00,70.94,,2025/5/27 下午 4:00:00,65269766
2025/5/28 下午 4:00:00,70.03,,2025/5/28 下午 4:00:00,66271337
2025/5/29 下午 4:00:00,70.37,,2025/5/29 下午 4:00:00,97717242
2025/5/30 下午 4:00:00,70,,2025/5/30 下午 4:00:00,93559149
2025/6/2 下午 4:00:00,71.61,,2025/6/2 下午 4:00:00,68962708
2025/6/3 下午 4:00:00,73.28,,2025/6/3 下午 4:00:00,64364182
2025/6/4 下午 4:00:00,73.87,,2025/6/4 下午 4:00:00,64444452
2025/6/5 下午 4:00:00,72.15,,2025/6/5 下午 4:00:00,99512462
2025/6/6 下午 4:00:00,74.21,,2025/6/6 下午 4:00:00,65607693
2025/6/9 下午 4:00:00,74.54,,2025/6/9 下午 4:00:00,50181894
2025/6/10 下午 4:00:00,75.98,,2025/6/10 下午 4:00:00,61346475
2025/6/11 下午 4:00:00,75.2,,2025/6/11 下午 4:00:00,90825988
2025/6/12 下午 4:00:00,75.69,,2025/6/12 下午 4:00:00,63055008
2025/6/13 下午 4:00:00,72.83,,2025/6/13 下午 4:00:00,105333080
2025/6/16 下午 4:00:00,75.8,,2025/6/16 下午 4:00:00,58334341
2025/6/17 下午 4:00:00,73.56,,2025/6/17 下午 4:00:00,67709094
2025/6/18 下午 4:00:00,73.46,,2025/6/18 下午 4:00:00,71330708
2025/6/20 下午 4:00:00,72.45,,2025/6/20 下午 4:00:00,81677450
2025/6/23 下午 4:00:00,74.7,,2025/6/23 下午 4:00:00,83786355
2025/6/24 下午 4:00:00,78.1,,2025/6/24 下午 4:00:00,56595750
2025/6/25 下午 4:00:00,78.48,,2025/6/25 下午 4:00:00,50719073
2025/6/26 下午 4:00:00,80.63,,2025/6/26 下午 4:00:00,50072093
2025/6/27 下午 4:00:00,81.42,,2025/6/27 下午 4:00:00,73011781
2025/6/30 下午 4:00:00,83,,2025/6/30 下午 4:00:00,56860730
2025/7/1 下午 4:00:00,80.89,,2025/7/1 下午 4:00:00,70194973
2025/7/2 下午 4:00:00,82.5,,2025/7/2 下午 4:00:00,50142531
2025/7/3 下午 1:05:00,84.81,,2025/7/3 下午 1:05:00,41742302
2025/7/7 下午 4:00:00,82.92,,2025/7/7 下午 4:00:00,69837376
2025/7/8 下午 4:00:00,83.03,,2025/7/8 下午 4:00:00,57757712
2025/7/9 下午 4:00:00,84.75,,2025/7/9 下午 4:00:00,58988125
2025/7/10 下午 4:00:00,84.36,,2025/7/10 下午 4:00:00,55158885
2025/7/11 下午 4:00:00,83.72,,2025/7/11 下午 4:00:00,53468792
2025/7/14 下午 4:00:00,84.61,,2025/7/14 下午 4:00:00,48655739
2025/7/15 下午 4:00:00,84.83,,2025/7/15 下午 4:00:00,61628768
2025/7/16 下午 4:00:00,85.07,,2025/7/16 下午 4:00:00,83178817
2025/7/17 下午 4:00:00,87.05,,2025/7/17 下午 4:00:00,48665426
2025/7/18 下午 4:00:00,86.75,,2025/7/18 下午 4:00:00,49248128
2025/7/21 下午 4:00:00,88.07,,2025/7/21 下午 4:00:00,43860151
2025/7/22 下午 4:00:00,86.7,,2025/7/22 下午 4:00:00,54172638
2025/7/23 下午 4:00:00,87.84,,2025/7/23 下午 4:00:00,57306405
