Date,Close,,Date,Volume
2025/5/27 下午 4:00:00,17.29,,2025/5/27 下午 4:00:00,136539698
2025/5/28 下午 4:00:00,17.04,,2025/5/28 下午 4:00:00,126785336
2025/5/29 下午 4:00:00,17.2,,2025/5/29 下午 4:00:00,181707067
2025/5/30 下午 4:00:00,16.17,,2025/5/30 下午 4:00:00,194058663
2025/6/2 下午 4:00:00,16.9,,2025/6/2 下午 4:00:00,103936951
2025/6/3 下午 4:00:00,18.3,,2025/6/3 下午 4:00:00,158644042
2025/6/4 下午 4:00:00,19.09,,2025/6/4 下午 4:00:00,146325287
2025/6/5 下午 4:00:00,18.81,,2025/6/5 下午 4:00:00,188985577
2025/6/6 下午 4:00:00,19.18,,2025/6/6 下午 4:00:00,114398657
2025/6/9 下午 4:00:00,20.58,,2025/6/9 下午 4:00:00,162685954
2025/6/10 下午 4:00:00,21.89,,2025/6/10 下午 4:00:00,142811037
2025/6/11 下午 4:00:00,21.64,,2025/6/11 下午 4:00:00,160395008
2025/6/12 下午 4:00:00,21.69,,2025/6/12 下午 4:00:00,100384527
2025/6/13 下午 4:00:00,20.04,,2025/6/13 下午 4:00:00,166989595
2025/6/16 下午 4:00:00,21.9,,2025/6/16 下午 4:00:00,121972302
2025/6/17 下午 4:00:00,21.42,,2025/6/17 下午 4:00:00,122379506
2025/6/18 下午 4:00:00,21.61,,2025/6/18 下午 4:00:00,113893759
2025/6/20 下午 4:00:00,21.21,,2025/6/20 下午 4:00:00,137078938
2025/6/23 下午 4:00:00,21.58,,2025/6/23 下午 4:00:00,125143685
2025/6/24 下午 4:00:00,23.95,,2025/6/24 下午 4:00:00,137607991
2025/6/25 下午 4:00:00,24.58,,2025/6/25 下午 4:00:00,107621578
2025/6/26 下午 4:00:00,25.2,,2025/6/26 下午 4:00:00,92382200
2025/6/27 下午 4:00:00,25.11,,2025/6/27 下午 4:00:00,113655642
2025/6/30 下午 4:00:00,25.11,,2025/6/30 下午 4:00:00,78035001
2025/7/1 下午 4:00:00,24.71,,2025/7/1 下午 4:00:00,107277343
2025/7/2 下午 4:00:00,26.05,,2025/7/2 下午 4:00:00,107157106
2025/7/3 下午 1:15:00,26.43,,2025/7/3 下午 1:15:00,62695849
2025/7/7 下午 4:00:00,24.97,,2025/7/7 下午 4:00:00,93297624
2025/7/8 下午 4:00:00,26.37,,2025/7/8 下午 4:00:00,90457488
2025/7/9 下午 4:00:00,26.65,,2025/7/9 下午 4:00:00,86818681
2025/7/10 下午 4:00:00,27.37,,2025/7/10 下午 4:00:00,87602523
2025/7/11 下午 4:00:00,27.29,,2025/7/11 下午 4:00:00,71855387
2025/7/14 下午 4:00:00,26.5,,2025/7/14 下午 4:00:00,99670560
2025/7/15 下午 4:00:00,27.29,,2025/7/15 下午 4:00:00,108926203
2025/7/16 下午 4:00:00,27.03,,2025/7/16 下午 4:00:00,125700856
2025/7/17 下午 4:00:00,27.32,,2025/7/17 下午 4:00:00,85334112
2025/7/18 下午 4:00:00,27.33,,2025/7/18 下午 4:00:00,68274331
2025/7/21 下午 4:00:00,27.5,,2025/7/21 下午 4:00:00,79860326
2025/7/22 下午 4:00:00,26.32,,2025/7/22 下午 4:00:00,118871562
2025/7/23 下午 4:00:00,25.78,,2025/7/23 下午 4:00:00,101884374
